Dates,Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
2023-04-08 00:47:00+00:00,27897.63671875,2.98046875,0.0,2.4249441964285716,3.794224330357143,0.6391146082288488,38.99145337490747
2023-04-08 00:48:00+00:00,27897.9375,0.30078125,0.0,2.308872767857143,3.794224330357143,0.6085229988601684,37.831165565638784
2023-04-08 00:49:00+00:00,27901.779296875,3.841796875,0.0,1.1215122767857142,3.794224330357143,0.29558407177262197,22.81473493018504
2023-04-08 00:51:00+00:00,27888.08203125,0.0,-13.697265625,1.1215122767857142,4.577427455357143,0.2450092956630398,19.67931456548348
2023-04-08 00:52:00+00:00,27888.189453125,0.107421875,0.0,1.1291852678571428,4.437639508928571,0.2544562859568047,20.28418915870988
2023-04-08 00:53:00+00:00,27886.396484375,0.0,-1.79296875,0.9024832589285714,4.565708705357143,0.19766553610168971,16.504235126033265
2023-04-08 00:54:00+00:00,27887.365234375,0.96875,0.0,0.9716796875,4.019670758928571,0.24173116301669387,19.467270389624915
2023-04-08 00:55:00+00:00,27883.38671875,0.0,-3.978515625,0.9716796875,4.154854910714286,0.23386609361359212,18.95392821182682
2023-04-08 00:56:00+00:00,27883.46875,0.08203125,0.0,0.9775390625,3.828404017857143,0.255338532176955,20.340213068594153
2023-04-08 00:57:00+00:00,27890.443359375,6.974609375,0.0,1.4757254464285714,3.3731863839285716,0.43748707556143757,30.434157148200356
2023-04-08 00:59:00+00:00,27891.509765625,1.06640625,0.0,1.1658761160714286,3.3731863839285716,0.34563050581082755,25.685394639783624
2023-04-08 01:00:00+00:00,27900.7578125,9.248046875,0.0,1.8264508928571428,2.7163783482142856,0.6723845719274819,40.20514080397998
2023-04-08 01:01:00+00:00,27899.5546875,0.0,-1.203125,1.8264508928571428,2.3592354910714284,0.7741706581514991,43.635636436356364
2023-04-08 01:02:00+00:00,27906.8359375,7.28125,0.0,2.3465401785714284,1.8635602678571428,1.2591705345111543,55.73596659818411
2023-04-08 01:03:00+00:00,27909.494140625,2.658203125,0.0,2.536411830357143,1.4765625,1.7177815570672712,63.20528419954805
2023-04-08 01:04:00+00:00,27904.970703125,0.0,-4.5234375,2.323521205357143,1.7996651785714286,1.2910852713178294,56.35256301810184
2023-04-08 01:05:00+00:00,27907.484375,2.513671875,0.0,2.4815848214285716,1.7996651785714286,1.3789147286821706,57.964025026068825
2023-04-08 01:06:00+00:00,27906.2890625,0.0,-1.1953125,2.2071707589285716,1.8850446428571428,1.1708851391355832,53.935840180002046
2023-04-08 01:07:00+00:00,27902.208984375,0.0,-4.080078125,2.2071707589285716,1.1981026785714286,1.8422217047042386,64.81625629890614
2023-04-08 01:08:00+00:00,27905.939453125,3.73046875,0.0,2.4659598214285716,1.1981026785714286,2.058220773171868,67.30124885775206
2023-04-08 01:09:00+00:00,27907.29296875,1.353515625,0.0,2.5626395089285716,1.0700334821428572,2.3949152542372882,70.54418372441339
2023-04-08 01:10:00+00:00,27902.556640625,0.0,-4.736328125,2.493443080357143,1.4083426339285714,1.7704804358593362,63.90517734553776
2023-04-08 01:11:00+00:00,27911.001953125,8.4453125,0.0,3.0966796875,1.1241629464285714,2.7546537602382726,73.36638572136837
2023-04-08 01:12:00+00:00,27907.841796875,0.0,-3.16015625,3.0908203125,1.3498883928571428,2.2896858205870196,69.60196035311489
2023-04-08 01:13:00+00:00,27913.552734375,5.7109375,0.0,3.0005580357142856,1.3498883928571428,2.2228193468375363,68.97126731657261
2023-04-08 01:14:00+00:00,27914.25390625,0.701171875,0.0,2.9744698660714284,1.3498883928571428,2.2034931789995866,68.7840758783108
2023-04-08 01:16:00+00:00,27913.515625,0.0,-0.73828125,2.3138950892857144,1.4026227678571428,1.649691665008952,62.25975975975976
2023-04-08 01:17:00+00:00,27914.380859375,0.865234375,0.0,2.375697544642857,1.3166852678571428,1.8043017588472134,64.34049948993086
2023-04-08 01:19:00+00:00,27900.287109375,0.0,-14.09375,1.8556082589285714,2.3233816964285716,0.7986669869100516,44.403271574027706
2023-04-08 01:20:00+00:00,27900.505859375,0.21875,0.0,1.6813616071428572,2.3233816964285716,0.7236699891917857,41.984254162892775
2023-04-08 01:21:00+00:00,27904.248046875,3.7421875,0.0,1.9486607142857142,2.000279017857143,0.9741944483191519,49.34642831908429
2023-04-08 01:22:00+00:00,27903.935546875,0.0,-0.3125,1.7691127232142858,2.0226004464285716,0.8746723686025658,46.65734574487655
2023-04-08 01:24:00+00:00,27902.2734375,0.0,-1.662109375,1.7691127232142858,2.055943080357143,0.8604872090656173,46.25063826683201
2023-04-08 01:25:00+00:00,27910.0078125,7.734375,0.0,2.321568080357143,1.7645089285714286,1.3157020872865275,56.81655228925535
2023-04-08 01:26:00+00:00,27917.923828125,7.916015625,0.0,2.6205357142857144,1.7645089285714286,1.4851359898798229,59.76075337235938
2023-04-08 01:27:00+00:00,27918.421875,0.498046875,0.0,2.5594308035714284,1.7645089285714286,1.450506008855155,59.19210169710266
2023-04-08 01:28:00+00:00,27919.01953125,0.59765625,0.0,2.6021205357142856,1.4261997767857142,1.824513352244938,64.59567099567099
2023-04-08 01:29:00+00:00,27918.109375,0.0,-0.91015625,1.9988839285714286,1.4912109375,1.3404434465338197,57.273054323060315
2023-04-08 01:30:00+00:00,27917.638671875,0.0,-0.470703125,1.9988839285714286,1.2991071428571428,1.538659793814433,60.609137055837564
2023-04-08 01:31:00+00:00,27919.046875,1.408203125,0.0,1.6915457589285714,1.2991071428571428,1.3020833333333335,56.561085972850684
2023-04-08 01:32:00+00:00,27928.318359375,9.271484375,0.0,2.3037109375,1.2991071428571428,1.773303264604811,63.94191674733786
2023-04-08 01:33:00+00:00,27925.595703125,0.0,-2.72265625,2.3037109375,1.4408482142857142,1.5988574748257165,61.52155284825453
2023-04-08 01:34:00+00:00,27930.6875,5.091796875,0.0,2.6056082589285716,1.4408482142857142,1.8083849728892334,64.392346147216
2023-04-08 01:35:00+00:00,27929.373046875,0.0,-1.314453125,2.6056082589285716,0.5280412946428571,4.934478203434611,83.14931884961268
2023-04-08 01:36:00+00:00,27932.279296875,2.90625,0.0,2.797572544642857,0.5280412946428571,5.298018494055483,84.12199009984059
2023-04-08 01:37:00+00:00,27940.330078125,8.05078125,0.0,3.1053292410714284,0.5280412946428571,5.8808454425363275,85.46690216556597
2023-04-08 01:38:00+00:00,27934.865234375,0.0,-5.46484375,3.1053292410714284,0.8960658482142857,3.4655145570605637,77.60616414475979
2023-04-08 01:39:00+00:00,27933.92578125,0.0,-0.939453125,3.1053292410714284,0.8444475446428571,3.677350074343301,78.62037298671942
2023-04-08 01:41:00+00:00,27934.388671875,0.462890625,0.0,2.5859375,0.8444475446428571,3.0622831653725426,75.38330147626988
2023-04-08 01:42:00+00:00,27938.357421875,3.96875,0.0,2.303989955357143,0.8444475446428571,2.728399140921857,73.17883729174052
2023-04-08 01:43:00+00:00,27936.505859375,0.0,-1.8515625,2.2684151785714284,0.9767020089285714,2.3225253535209256,69.90241176217704
2023-04-08 01:44:00+00:00,27936.171875,0.0,-0.333984375,2.2257254464285716,1.0005580357142858,2.224484104852203,68.98728703623627
2023-04-08 01:45:00+00:00,27936.84765625,0.67578125,0.0,2.2739955357142856,0.935546875,2.430659111243662,70.85108232634965
2023-04-08 01:46:00+00:00,27934.841796875,0.0,-2.005859375,2.2739955357142856,1.0452008928571428,2.1756540309663643,68.51042367182247
2023-04-08 01:47:00+00:00,27933.552734375,0.0,-1.2890625,2.1734095982142856,1.1372767857142858,1.9110647693817466,65.64830812018036
2023-04-08 01:49:00+00:00,27932.931640625,0.0,-0.62109375,1.5111607142857142,1.181640625,1.278866587957497,56.11853693917728
2023-04-08 01:50:00+00:00,27929.947265625,0.0,-2.984375,1.5111607142857142,1.2003348214285714,1.2589493258949325,55.73163202305001
2023-04-08 01:51:00+00:00,27920.619140625,0.0,-9.328125,1.1474609375,1.8666294642857142,0.6147234678624813,38.069891228882206
2023-04-08 01:52:00+00:00,27916.228515625,0.0,-4.390625,1.1474609375,2.0863560267857144,0.5499832831828819,35.48317515099224
2023-04-08 01:53:00+00:00,27925.216796875,8.98828125,0.0,1.5818917410714286,2.0863560267857144,0.7582079572049482,43.12390659466038
2023-04-08 01:54:00+00:00,27933.13671875,7.919921875,0.0,1.5725446428571428,2.0863560267857144,0.7537278502173186,42.97860982956495
2023-04-08 01:55:00+00:00,27926.0234375,0.0,-7.11328125,1.5725446428571428,2.2041015625,0.7134628773973036,41.63865391008828
2023-04-08 01:56:00+00:00,27920.01171875,0.0,-6.01171875,1.5725446428571428,2.56640625,0.6127419004131333,37.99379803154914
2023-04-08 01:57:00+00:00,27921.828125,1.81640625,0.0,1.6692243303571428,2.56640625,0.6504131332898456,39.40911037185864
2023-04-08 01:58:00+00:00,27923.701171875,1.873046875,0.0,1.51953125,2.56640625,0.5920852359208524,37.18929254302103
2023-04-08 01:59:00+00:00,27920.03125,0.0,-3.669921875,1.51953125,2.6962890625,0.563563926113727,36.043548760713456
2023-04-08 02:00:00+00:00,27916.73046875,0.0,-3.30078125,1.51953125,2.908203125,0.5224983210208194,34.31848257609175
2023-04-08 02:01:00+00:00,27918.185546875,1.455078125,0.0,1.5751953125,2.908203125,0.5416386836803224,35.13395774341102
2023-04-08 02:02:00+00:00,27926.703125,8.517578125,0.0,2.18359375,2.764927455357143,0.789747212271053,44.12618758986214
2023-04-08 02:03:00+00:00,27926.111328125,0.0,-0.591796875,2.18359375,2.715122767857143,0.8042338916863632,44.57481346471493
2023-04-08 02:04:00+00:00,27926.0546875,0.0,-0.056640625,2.18359375,2.6748046875,0.8163563344286235,44.94472361809045
2023-04-08 02:06:00+00:00,27923.4140625,0.0,-2.640625,2.18359375,2.6502511160714284,0.8239195662473022,45.17302086640307
2023-04-08 02:07:00+00:00,27923.18359375,0.0,-0.23046875,2.18359375,2.0004185267857144,1.0915684496826836,52.18899003034244
2023-04-08 02:08:00+00:00,27921.40625,0.0,-1.77734375,2.18359375,1.8137555803571428,1.203907391739097,54.626042648239284
2023-04-08 02:09:00+00:00,27921.20703125,0.0,-0.19921875,1.5415736607142858,1.8279854910714286,0.843318324047928,45.75001035068108
2023-04-08 02:10:00+00:00,27926.982421875,5.775390625,0.0,1.3883928571428572,1.8279854910714286,0.7595207204456995,43.166341357623075
2023-04-08 02:11:00+00:00,27925.576171875,0.0,-1.40625,1.3883928571428572,1.4203404017857142,0.9775071211079462,49.43128197486713
2023-04-08 02:12:00+00:00,27925.51953125,0.0,-0.056640625,1.3883928571428572,0.9949776785714286,1.3954010095344924,58.253336455162724
2023-04-08 02:14:00+00:00,27928.005859375,2.486328125,0.0,1.4362444196428572,0.9949776785714286,1.4434941110487942,59.07499856544443
2023-04-08 02:15:00+00:00,27928.001953125,0.0,-0.00390625,1.3024553571428572,0.9952566964285714,1.308662741799832,56.684881602914395
2023-04-08 02:16:00+00:00,27928.265625,0.263671875,0.0,1.3212890625,0.7331194196428571,1.8022835394862038,64.31481732989272
2023-04-08 02:17:00+00:00,27927.935546875,0.0,-0.330078125,1.3212890625,0.5209263392857143,2.5364220674879485,71.72283226050737
2023-04-08 02:18:00+00:00,27929.5,1.564453125,0.0,1.3291015625,0.5209263392857143,2.5514193893947508,71.84224417464746
2023-04-08 02:19:00+00:00,27928.40625,0.0,-1.09375,0.720703125,0.5990513392857143,1.2030740568234746,54.60887949260043
2023-04-08 02:20:00+00:00,27928.462890625,0.056640625,0.0,0.7247488839285714,0.5567801339285714,1.3016787772488099,56.553450903548885
2023-04-08 02:21:00+00:00,27930.87890625,2.416015625,0.0,0.8973214285714286,0.552734375,1.6234225138818779,61.88185491629787
2023-04-08 02:22:00+00:00,27928.19921875,0.0,-2.6796875,0.8973214285714286,0.5555245535714286,1.6152687091913611,61.76301133090071
2023-04-08 02:23:00+00:00,27932.765625,4.56640625,0.0,1.2234933035714286,0.5390625,2.2696687370600417,69.41586195979104
2023-04-08 02:24:00+00:00,27931.1796875,0.0,-1.5859375,1.2234933035714286,0.525390625,2.328730748805098,69.95851946394384
2023-04-08 02:25:00+00:00,27932.36328125,1.18359375,0.0,1.3080357142857142,0.5111607142857143,2.5589519650655017,71.90184049079754
2023-04-08 02:26:00+00:00,27934.884765625,2.521484375,0.0,1.0756138392857142,0.5111607142857143,2.104257641921397,67.78617900474767
2023-04-08 02:27:00+00:00,27938.794921875,3.91015625,0.0,1.3549107142857142,0.4107142857142857,3.2989130434782608,76.73830594184577
2023-04-08 02:28:00+00:00,27939.38671875,0.591796875,0.0,1.3971819196428572,0.4066685267857143,3.4356775300171525,77.45552977571539
2023-04-08 02:29:00+00:00,27940.220703125,0.833984375,0.0,1.2791573660714286,0.4066685267857143,3.1454545454545455,75.87719298245614
2023-04-08 02:31:00+00:00,27937.087890625,0.0,-3.1328125,1.2791573660714286,0.6301618303571429,2.0298870932034534,66.99546982317696
2023-04-08 02:32:00+00:00,27941.5078125,4.419921875,0.0,1.5760323660714286,0.6301618303571429,2.500996236440115,71.43670165675982
2023-04-08 02:33:00+00:00,27939.921875,0.0,-1.5859375,1.5760323660714286,0.7198660714285714,2.1893410852713178,68.64556115938507
2023-04-08 02:34:00+00:00,27943.5546875,3.6328125,0.0,1.7237723214285714,0.7198660714285714,2.394573643410853,70.54121945649692
2023-04-08 02:35:00+00:00,27942.61328125,0.0,-0.94140625,1.7237723214285714,0.708984375,2.431326249508068,70.85674962725084
2023-04-08 02:36:00+00:00,27935.21484375,0.0,-7.3984375,1.7197265625,1.2374441964285714,1.3897406989853438,58.154455819219706
2023-04-08 02:37:00+00:00,27935.640625,0.42578125,0.0,1.5775669642857142,1.2374441964285714,1.274859075535513,56.041233026068
2023-04-08 02:39:00+00:00,27924.744140625,0.0,-10.896484375,1.5775669642857142,1.8243582589285714,0.8647243251510285,46.3727701455813
2023-04-08 02:40:00+00:00,27924.064453125,0.0,-0.6796875,1.2513950892857142,1.8729073660714286,0.6681564245810055,40.05358338914937
2023-04-08 02:41:00+00:00,27925.158203125,1.09375,0.0,1.3295200892857142,1.7596261160714286,0.7555696503607389,43.03843201011607
2023-04-08 02:42:00+00:00,27925.361328125,0.203125,0.0,1.2594866071428572,1.7596261160714286,0.7157694442242132,41.71711103923109
2023-04-08 02:43:00+00:00,27926.1171875,0.755859375,0.0,1.1333705357142858,1.7596261160714286,0.6440973598668042,39.17635144910065
2023-04-08 02:44:00+00:00,27926.8984375,0.78125,0.0,0.9098772321428571,1.7596261160714286,0.5170855466582097,34.084139012281156
2023-04-08 02:45:00+00:00,27928.908203125,2.009765625,0.0,1.0111607142857142,1.7596261160714286,0.574645207325775,36.493630733598515
2023-04-08 02:46:00+00:00,27929.279296875,0.37109375,0.0,0.9780970982142857,1.7596261160714286,0.555855070165702,35.72666123114553
2023-04-08 02:47:00+00:00,27935.068359375,5.7890625,0.0,1.3916015625,1.5358537946428572,0.9060768462167317,47.53621807091117
2023-04-08 02:48:00+00:00,27938.119140625,3.05078125,0.0,1.2938058035714286,1.5358537946428572,0.8424016713597965,45.72301927722723
2023-04-08 02:49:00+00:00,27939.513671875,1.39453125,0.0,1.3934151785714286,1.4225725446428572,0.9795037756202805,49.48228882833787
2023-04-08 02:50:00+00:00,27941.181640625,1.66796875,0.0,1.2530691964285714,1.4225725446428572,0.880847308031774,46.83247301736274
2023-04-08 02:51:00+00:00,27940.92578125,0.0,-0.255859375,1.2530691964285714,1.3736049107142858,0.9122486288848263,47.70554493307839
2023-04-08 02:53:00+00:00,27944.244140625,3.318359375,0.0,1.4900948660714286,0.8451450892857143,1.763123142951469,63.809068642093315
2023-04-08 02:54:00+00:00,27941.224609375,0.0,-3.01953125,1.4596819196428572,1.0608258928571428,1.3759863229879012,57.912215641777834
2023-04-08 02:56:00+00:00,27936.0234375,0.0,-5.201171875,1.4596819196428572,0.6540178571428571,2.2318686006825943,69.05814797703123
2023-04-08 02:57:00+00:00,27936.34375,0.3203125,0.0,1.4825613839285714,0.60546875,2.4486175115207374,71.00287298723859
